timestamp,data
786.07,q:0.657:0.071:0.019:0.750,gq:0.657:0.071:0.019:0.750,a:-0.707:9.492:1.176,la:0.137:-0.082:-0.051,g:0.000:0.006:-0.012,m:-24.563:-154.750:-144.438,grav:-0.844:9.578:1.227,steps:0,stab:On Table
786.71,q:0.657:0.072:0.018:0.750,gq:0.657:0.071:0.019:0.750,a:-0.824:9.531:1.215,la:-0.074:0.086:0.035,g:-0.002:0.000:0.000,m:-23.875:-155.125:-144.813,grav:-0.820:9.531:1.227,steps:0,stab:On Table
787.44,q:0.657:0.073:0.018:0.750,gq:0.657:0.073:0.018:0.750,a:-0.746:9.457:1.215,la:0.004:-0.027:-0.004,g:0.002:0.006:-0.004,m:-24.938:-157.188:-141.000,grav:-0.828:9.523:1.219,steps:0,stab:On Table
788.07,q:0.657:0.072:0.018:0.750,gq:0.657:0.072:0.018:0.750,a:-0.824:9.531:1.215,la:-0.035:0.008:-0.004,g:0.004:0.002:0.002,m:-24.188:-154.313:-143.938,grav:-0.820:9.523:1.227,steps:0,stab:On Table
788.71,q:0.657:0.072:0.018:0.750,gq:0.657:0.073:0.018:0.750,a:-0.824:9.531:1.215,la:-0.012:0.008:-0.004,g:-0.002:0.002:0.000,m:-24.188:-154.250:-143.188,grav:-0.820:9.531:1.227,steps:0,stab:On Table
789.35,q:0.657:0.072:0.018:0.750,gq:0.657:0.072:0.018:0.750,a:-0.824:9.531:1.215,la:-0.004:0.000:-0.012,g:-0.002:-0.002:0.002,m:-24.250:-156.500:-142.563,grav:-0.820:9.531:1.227,steps:0,stab:On Table
789.98,q:0.657:0.073:0.018:0.750,gq:0.657:0.073:0.018:0.750,a:-0.824:9.531:1.215,la:0.004:0.008:-0.012,g:0.000:-0.002:0.000,m:-24.188:-155.000:-142.813,grav:-0.820:9.531:1.227,steps:0,stab:On Table
790.72,q:0.657:0.073:0.018:0.750,gq:0.657:0.073:0.018:0.750,a:-0.824:9.531:1.215,la:-0.004:0.000:-0.012,g:0.000:0.000:0.000,m:-24.563:-155.063:-143.188,grav:-0.820:9.531:1.227,steps:0,stab:On Table
791.36,q:0.657:0.073:0.018:0.750,gq:0.657:0.073:0.018:0.750,a:-0.824:9.531:1.215,la:-0.004:0.000:-0.012,g:0.000:0.000:0.000,m:-24.188:-155.438:-143.625,grav:-0.820:9.531:1.227,steps:0,stab:On Table
792.00,q:0.657:0.073:0.018:0.750,gq:0.657:0.073:0.018:0.750,a:-0.824:9.531:1.215,la:-0.004:0.000:-0.012,g:0.000:0.000:0.000,m:-23.813:-155.000:-142.813,grav:-0.820:9.531:1.227,steps:0,stab:On Table
792.68,q:0.657:0.073:0.018:0.750,gq:0.657:0.073:0.018:0.750,a:-0.824:9.531:1.215,la:-0.004:0.000:-0.012,g:0.000:0.000:0.000,m:-24.938:-156.250:-144.063,grav:-0.820:9.531:1.227,steps:0,stab:On Table
793.32,q:0.660:0.052:0.039:0.748,gq:0.661:0.051:0.039:0.748,a:-0.824:9.531:1.215,la:-0.320:0.215:0.066,g:0.010:-0.027:0.174,m:-24.188:-155.375:-142.375,grav:-0.820:9.531:1.227,steps:0,stab:On Table
793.96,q:0.665:0.019:0.069:0.743,gq:0.665:0.019:0.070:0.743,a:0.707:9.570:1.063,la:-0.070:0.039:-0.008,g:0.012:-0.010:0.145,m:-28.625:-149.375:-140.938,grav:-0.211:9.625:1.180,steps:0,stab:On Table
794.69,q:0.665:0.020:0.068:0.743,gq:0.665:0.020:0.069:0.743,a:1.629:9.492:1.023,la:0.387:-0.082:-0.016,g:0.010:-0.014:0.143,m:-32.125:-146.625:-137.250,grav:0.492:9.578:1.109,steps:0,stab:On Table
795.32,q:0.669:-0.016:0.104:0.736,gq:0.669:-0.014:0.102:0.736,a:2.434:9.379:0.949,la:0.066:0.035:0.000,g:0.012:-0.016:0.150,m:-31.438:-146.750:-138.875,grav:2.469:9.305:0.914,steps:0,stab:On Table
