timestamp,data
42.8,q:-0.653:-0.315:0.623:0.294,a:-6.281:-6.398:-0.496,la:0.004:0.113:-0.020,g:-0.002:-0.020:0.148,m:31.375:-77.063:-81.563,grav:-6.242:-6.445:-0.469,steps:0,stab:On Table
43.3,q:-0.665:-0.289:0.635:0.268,a:-6.242:-6.324:-0.461,la:0.000:0.043:0.055,g:-0.002:-0.004:0.146,m:31.000:-80.438:-84.625,grav:-6.289:-6.391:-0.469,steps:0,stab:On Table
43.8,q:-0.677:-0.261:0.646:0.239,a:-6.707:-5.785:-0.461,la:0.008:0.012:0.008,g:0.004:-0.010:0.154,m:31.750:-85.250:-85.000,grav:-6.977:-5.344:-0.477,steps:0,stab:On Table
44.3,q:-0.686:-0.234:0.655:0.213,a:-7.129:-5.133:-0.461,la:-0.031:0.051:-0.035,g:0.002:-0.010:0.145,m:31.375:-87.875:-85.813,grav:-7.039:-5.250:-0.469,steps:0,stab:On Table
44.9,q:-0.696:-0.204:0.664:0.182,a:-7.738:-3.676:-0.422,la:0.008:0.133:0.039,g:0.002:0.000:0.160,m:29.125:-96.125:-85.813,grav:-7.492:-4.414:-0.461,steps:0,stab:On Table
45.4,q:-0.710:-0.144:0.678:0.122,a:-7.773:-3.676:-0.461,la:0.027:0.004:0.008,g:0.000:0.000:0.150,m:28.750:-95.000:-87.000,grav:-7.797:-3.703:-0.469,steps:0,stab:On Table
45.9,q:-0.711:-0.141:0.678:0.120,a:-8.195:-2.223:-0.496,la:0.031:0.113:0.000,g:0.008:-0.004:0.154,m:25.438:-103.625:-86.938,grav:-8.047:-2.938:-0.453,steps:0,stab:On Table
46.4,q:-0.717:-0.107:0.683:0.086,a:-8.313:-1.379:-0.496,la:0.027:0.035:0.031,g:-0.004:-0.006:0.152,m:25.063:-104.000:-88.875,grav:-8.336:-1.492:-0.453,steps:0,stab:On Table
47.0,q:-0.721:-0.076:0.687:0.056,a:-8.422:-0.613:-0.461,la:-0.027:0.020:-0.008,g:0.000:0.000:0.146,m:23.188:-112.188:-89.250,grav:-8.344:-1.422:-0.445,steps:0,stab:On Table
47.5,q:-0.724:-0.042:0.688:0.022,a:-8.422:-0.574:-0.422,la:-0.020:0.066:0.031,g:-0.008:-0.004:0.154,m:22.063:-111.438:-88.875,grav:-8.391:0.070:-0.438,steps:0,stab:On Table
48.0,q:0.724:-0.020:-0.688:0.039,a:-8.395:0.152:-0.461,la:0.008:0.047:0.016,g:0.000:-0.004:0.145,m:20.938:-115.563:-90.875,grav:-8.391:0.141:-0.438,steps:0,stab:On Table
48.6,q:0.724:-0.023:-0.688:0.042,a:-8.195:1.684:-0.422,la:-0.039:0.051:-0.023,g:-0.004:-0.002:0.156,m:17.188:-120.438:-90.063,grav:-8.203:1.617:-0.422,steps:0,stab:On Table
49.1,q:0.719:-0.086:-0.682:0.103,a:-8.012:2.453:-0.461,la:0.055:0.063:-0.008,g:0.006:-0.004:0.154,m:14.938:-119.688:-91.188,grav:-8.180:1.688:-0.422,steps:0,stab:On Table
49.6,q:0.718:-0.090:-0.682:0.107,a:-8.008:2.488:-0.422,la:-0.008:0.066:0.000,g:-0.002:-0.002:0.156,m:9.313:-122.688:-91.563,grav:-7.992:2.469:-0.414,steps:0,stab:On Table
50.1,q:0.713:-0.125:-0.676:0.140,a:-7.699:3.258:-0.422,la:0.051:0.055:-0.008,g:0.002:0.000:0.152,m:10.063:-123.063:-92.375,grav:-7.766:3.180:-0.414,steps:0,stab:On Table
50.7,q:0.707:-0.155:-0.669:0.169,a:-7.395:4.023:-0.422,la:0.000:0.051:-0.008,g:-0.002:-0.010:0.156,m:5.188:-128.313:-93.875,grav:-7.438:3.922:-0.414,steps:0,stab:On Table
51.2,q:0.698:-0.189:-0.660:0.202,a:-6.664:5.285:-0.422,la:0.039:0.027:-0.008,g:0.002:-0.004:0.150,m:5.938:-126.813:-93.875,grav:-6.703:5.203:-0.391,steps:0,stab:On Table
51.7,q:0.689:-0.220:-0.651:0.231,a:-6.664:5.363:-0.422,la:-0.008:0.023:-0.031,g:0.002:-0.006:0.152,m:1.438:-128.313:-94.688,grav:-6.664:5.266:-0.398,steps:0,stab:On Table
52.8,q:0.677:-0.253:-0.640:0.262,a:-5.094:7.012:-0.344,la:-0.047:0.035:0.000,g:-0.004:0.000:0.152,m:-6.313:-131.688:-95.438,grav:-6.203:5.867:-0.391,steps:0,stab:On Table
53.3,q:0.650:-0.313:-0.614:0.319,a:-5.094:7.047:-0.344,la:0.016:0.023:0.031,g:-0.002:-0.004:0.154,m:-7.063:-132.438:-93.938,grav:-4.563:7.469:-0.375,steps:0,stab:On Table
53.8,q:0.636:-0.341:-0.600:0.345,a:-4.480:7.590:-0.422,la:0.016:0.055:-0.016,g:0.000:-0.006:0.150,m:-10.438:-132.813:-94.313,grav:-4.492:7.516:-0.375,steps:0,stab:On Table
54.4,q:0.619:-0.371:-0.584:0.373,a:-3.219:8.391:-0.344,la:-0.047:0.047:-0.016,g:-0.006:0.000:0.160,m:-13.438:-134.625:-96.250,grav:-3.242:8.313:-0.344,steps:0,stab:On Table
54.9,q:0.584:-0.422:-0.552:0.420,a:-2.527:8.734:-0.383,la:0.008:0.105:-0.039,g:0.000:0.002:0.160,m:-16.813:-133.938:-95.813,grav:-3.180:8.352:-0.344,steps:0,stab:On Table
55.4,q:0.582:-0.425:-0.550:0.423,a:-2.453:8.734:-0.344,la:0.008:0.047:0.016,g:-0.004:-0.002:0.158,m:-22.063:-132.813:-94.313,grav:-2.422:8.703:-0.359,steps:0,stab:On Table
55.9,q:0.561:-0.451:-0.530:0.447,a:-1.648:9.039:-0.344,la:0.039:0.070:0.000,g:0.002:-0.008:0.158,m:-22.813:-133.188:-95.438,grav:-1.711:8.953:-0.344,steps:0,stab:On Table
56.5,q:0.541:-0.475:-0.512:0.468,a:-0.918:9.230:-0.344,la:0.027:0.035:0.023,g:-0.004:-0.002:0.158,m:-28.750:-130.188:-95.063,grav:-0.906:9.180:-0.344,steps:0,stab:On Table
57.0,q:0.519:-0.499:-0.491:0.491,a:0.613:9.465:-0.344,la:-0.004:0.027:-0.008,g:0.000:-0.006:0.152,m:-29.875:-132.063:-97.000,grav:0.578:9.391:-0.320,steps:0,stab:On Table
57.5,q:0.475:-0.540:-0.451:0.529,a:1.340:9.422:-0.344,la:0.117:-0.035:0.016,g:0.000:0.008:0.123,m:-31.375:-129.063:-95.063,grav:0.664:9.391:-0.320,steps:0,stab:On Table
58.1,q:0.474:-0.541:-0.449:0.530,a:1.340:9.465:-0.344,la:-0.121:0.016:-0.031,g:0.000:0.002:0.061,m:-32.875:-128.313:-94.313,grav:1.461:9.414:-0.320,steps:0,stab:On Table
58.6,q:0.476:-0.539:-0.451:0.529,a:1.266:9.504:-0.305,la:-0.148:0.047:0.000,g:0.004:-0.010:0.020,m:-32.875:-126.813:-97.000,grav:1.438:9.453:-0.313,steps:0,stab:On Table
59.1,q:0.472:-0.542:-0.449:0.531,a:1.609:9.426:-0.344,la:-0.117:0.023:0.000,g:0.000:0.002:0.002,m:-32.500:-129.063:-94.313,grav:1.438:9.469:-0.320,steps:0,stab:On Table
59.7,q:0.477:-0.538:-0.451:0.529,a:1.266:9.504:-0.305,la:-0.102:0.031:0.000,g:-0.006:-0.006:0.021,m:-32.500:-128.688:-94.688,grav:1.523:9.445:-0.313,steps:0,stab:On Table
60.2,q:0.471:-0.543:-0.449:0.531,a:1.570:9.426:-0.305,la:0.047:-0.016:0.016,g:0.002:-0.012:0.033,m:-32.500:-127.563:-95.063,grav:1.523:9.445:-0.320,steps:0,stab:On Table
60.7,q:0.473:-0.541:-0.450:0.531,a:1.457:9.383:-0.305,la:0.168:-0.059:0.016,g:-0.002:-0.014:0.041,m:-33.250:-129.813:-93.563,grav:1.391:9.477:-0.305,steps:0,stab:On Table
61.2,q:0.481:-0.534:-0.458:0.523,a:0.078:9.422:-0.344,la:0.113:-0.039:-0.063,g:0.004:0.004:-0.115,m:-33.250:-128.313:-97.375,grav:0.359:9.461:-0.320,steps:0,stab:On Table
61.8,q:0.503:-0.513:-0.476:0.507,a:-0.039:9.422:-0.383,la:0.078:-0.082:0.031,g:0.000:0.004:-0.088,m:-29.500:-130.188:-96.250,grav:0.242:9.469:-0.320,steps:0,stab:On Table
62.3,q:0.526:-0.490:-0.499:0.484,a:-0.461:9.309:-0.305,la:0.008:-0.027:0.031,g:-0.002:0.016:-0.242,m:-27.250:-132.063:-97.000,grav:-1.367:9.172:-0.328,steps:0,stab:On Table
62.8,q:0.567:-0.444:-0.535:0.441,a:-2.070:8.848:-0.344,la:-0.031:-0.051:0.016,g:-0.004:0.029:-0.223,m:-25.813:-133.563:-96.250,grav:-1.422:9.164:-0.336,steps:0,stab:On Table
63.8,q:0.601:-0.398:-0.567:0.398,a:-2.105:8.844:-0.305,la:-0.051:-0.039:0.031,g:-0.010:0.027:-0.205,m:-20.938:-132.813:-95.813,grav:-2.125:8.883:-0.352,steps:0,stab:On Table
64.3,q:0.604:-0.394:-0.569:0.396,a:-3.371:8.273:-0.344,la:-0.004:-0.047:0.023,g:-0.012:0.023:-0.201,m:-11.938:-133.875:-94.313,grav:-4.031:7.945:-0.359,steps:0,stab:On Table
64.8,q:0.635:-0.342:-0.598:0.348,a:-4.750:7.391:-0.383,la:0.031:-0.039:-0.023,g:-0.010:0.018:-0.188,m:-10.813:-135.000:-96.250,grav:-4.078:7.906:-0.359,steps:0,stab:On Table
65.4,q:0.637:-0.339:-0.600:0.345,a:-4.828:7.316:-0.383,la:-0.039:-0.035:-0.008,g:-0.010:0.014:-0.170,m:-5.938:-136.500:-95.438,grav:-4.750:7.398:-0.367,steps:0,stab:On Table
65.9,q:0.649:-0.316:-0.612:0.321,a:-5.859:6.281:-0.383,la:0.039:-0.027:0.008,g:0.000:0.004:-0.162,m:-5.188:-134.313:-95.438,grav:-5.266:6.938:-0.391,steps:0,stab:On Table
66.4,q:0.666:-0.281:-0.627:0.291,a:-6.246:5.785:-0.383,la:0.055:-0.035:0.023,g:-0.002:0.004:-0.148,m:1.438:-133.938:-95.063,grav:-5.906:6.305:-0.391,steps:0,stab:On Table
66.9,q:0.677:-0.255:-0.638:0.263,a:-6.285:5.746:-0.383,la:0.047:-0.012:0.023,g:0.012:0.000:-0.143,m:1.063:-132.063:-97.375,grav:-6.320:5.781:-0.406,steps:0,stab:On Table
67.5,q:0.689:-0.221:-0.649:0.234,a:-6.852:5.020:-0.422,la:-0.016:-0.043:0.000,g:0.014:-0.002:-0.131,m:7.063:-130.188:-94.313,grav:-6.859:5.055:-0.406,steps:0,stab:On Table
68.0,q:0.699:-0.191:-0.659:0.203,a:-7.203:4.367:-0.422,la:-0.016:-0.086:0.000,g:-0.012:0.012:-0.184,m:11.188:-126.813:-93.500,grav:-7.547:3.758:-0.422,steps:0,stab:On Table
68.5,q:0.714:-0.129:-0.673:0.145,a:-7.586:3.676:-0.422,la:-0.008:-0.031:0.039,g:-0.020:0.008:-0.176,m:11.563:-128.313:-93.875,grav:-7.570:3.688:-0.422,steps:0,stab:On Table
69.1,q:0.714:-0.126:-0.674:0.142,a:-8.039:2.262:-0.422,la:0.027:-0.012:0.008,g:-0.010:0.008:-0.178,m:15.313:-124.188:-93.563,grav:-7.852:2.953:-0.430,steps:0,stab:On Table
